,Product link,Product name,Product Model,Product Type,Product price,Product police number,Product police number type,Product Mileage,Production year,Product post location,Product color,Product fuel type,Product Transmission
120,https://toyotatrust.astra.co.id/HONDA-HRV-HRV-1.8-PRESTIGE-AT-2018-4499,HONDA HRV HRV 1.8 PRESTIGE AT 2018,HRV,HRV 1.8 PRESTIGE,Rp 305.000.000,F 1528 RG,even,71202,2018,Cibinong,BLACK,GASOLINE,AT
121,https://toyotatrust.astra.co.id/HONDA-HRV-HRV-1.5-S-A/T-AT-2017-3834,T AT 2017,,,,,,,,,,,
122,https://toyotatrust.astra.co.id/HONDA-HRV-HRV-1.5-S-A/T-AT-2017-4182,T AT 2017,,,,,,,,,,,
123,https://toyotatrust.astra.co.id/HONDA-HRV-HRV-1.5-E-A/T-AT-2021-4129,T AT 2021,,,,,,,,,,,
124,https://toyotatrust.astra.co.id/HONDA-HRV-HRV-1.5-E-A/T-AT-2020-2993,T AT 2020,,,,,,,,,,,
125,https://toyotatrust.astra.co.id/HONDA-HRV-HRV-1.5-E-A/T-AT-2016-4193,T AT 2016,,,,,,,,,,,
126,https://toyotatrust.astra.co.id/HONDA-CRV-CR-V-2.4-AT-(NEW)-AT-2016-4308,HONDA CRV CR V 2.4 AT (NEW) AT 2016,CRV,CR-V 2.4 AT (NEW),Rp 290.000.000,B 1806 BJQ,even,88658,2016,Kalimalang,WHITE,,AT
127,https://toyotatrust.astra.co.id/HONDA-CRV-CR-V-2.4-AT-(NEW)-AT-2016-4368,HONDA CRV CR V 2.4 AT (NEW) AT 2016,CRV,CR-V 2.4 AT (NEW),Rp 290.000.000,B 1498 PLP,even,84194,2016,Kalimalang,WHITE,,AT
128,https://toyotatrust.astra.co.id/HONDA-CRV-CR-V-2.4-AT-(ALL-NEW)-AT-2012-3232,HONDA CRV CR V 2.4 AT (ALL NEW) AT 2012,CRV,CR-V 2.4 AT (ALL NEW),Rp 210.000.000,D 792 AS,even,139157,2012,SH,WHITE,GASOLINE,AT
129,https://toyotatrust.astra.co.id/HONDA-CRV-CR-V-2.0-AT-(ALL-NEW)-AT-2014-4306,HONDA CRV CR V 2.0 AT (ALL NEW) AT 2014,CRV,CR-V 2.0 AT (ALL NEW),Rp 216.000.000,B 1590 TJI,even,82541,2014,Kalimalang,BLACK,,AT
